物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１-6-1,都営大江戸線「月島」徒歩6分,1998年2月,184800000.0,3LDK,91.42,0.0,東京,中央,334,18480.0,667,都営大江戸線,月島,35.6590853,139.7840305
WORLD TOWER RESIDENCE,東京都港区浜松町２,ＪＲ山手線「浜松町」徒歩2分,2024年11月,185000000.0,1LDK,40.3,7.8,東京,港,13,18500.0,1515,ＪＲ山手線,浜松町,35.6548149,139.7556247
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩12分,2019年2月,185000000.0,2LDK,81.64,22.0,東京,中央,82,18500.0,748,東京メトロ有楽町線,月島,35.6564518,139.7869359
ブリリアタワー池袋ＷＥＳＴ　18階,東京都豊島区池袋３,ＪＲ山手線「池袋」徒歩10分,2024年3月,185000000.0,2LDK,64.14,6.59,東京,豊島,21,18500.0,952,ＪＲ山手線,池袋,35.7364147,139.7045399
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,2016年11月,188000000.0,2LDK,58.94,8.42,東京,中央,109,18800.0,1053,都営大江戸線,勝どき,35.657516,139.7709587
パークタワー晴海,東京都中央区晴海２-2-42,東京メトロ有楽町線「月島」徒歩12分,2019年2月,188000000.0,2LDK,69.25,15.03,東京,中央,82,18800.0,896,東京メトロ有楽町線,月島,35.6569192,139.7867489
晴海フラッグ パークビレッジ T棟（SKY DUO）,東京都中央区晴海５-6-7,都営大江戸線「勝どき」徒歩18分,2025年10月,188000000.0,3LDK,71.01,18.6,東京,中央,2,18800.0,874,都営大江戸線,勝どき,35.6497754,139.7745565
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,2016年11月,188000000.0,2LDK,58.94,8.42,東京,中央,109,18800.0,1053,都営大江戸線,勝どき,35.657516,139.7709587
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,2016年11月,188000000.0,2LDK,58.94,8.42,東京,中央,109,18800.0,1053,都営大江戸線,勝どき,35.657516,139.7709587
ワールドシティタワーズ キャピタルタワー,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,2006年10月,189000000.0,2LDK+S（納戸）,94.39,5.15,東京,港,230,18900.0,661,ＪＲ山手線,品川,35.6273113,139.7485979
ローレルタワールネ浜松町,東京都港区海岸２,新交通ゆりかもめ「日の出」徒歩1分,2020年1月,189900000.0,2LDK,66.34,6.0,東京,港,71,18990.0,945,新交通ゆりかもめ,日の出,35.6501388,139.7589234
プライムパークス品川シーサイド ザ・タワー,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩4分,2019年1月,194800000.0,2LDK,85.68,11.37,東京,品川,83,19480.0,750,りんかい線,品川シーサイド,35.6089355,139.7485979
THE TOKYO TOWERS SEA TOWER,東京都中央区勝どき６,都営大江戸線「勝どき」徒歩11分,2008年1月,195000000.0,2LDK+S（納戸）,78.47,6.48,東京,中央,215,19500.0,820,都営大江戸線,勝どき,35.6550953,139.7735148
THE　TOKYO　TOWERS　SEA　TOWER,東京都中央区勝どき６,都営大江戸線「勝どき」徒歩7分,2008年1月,196000000.0,2LDK,86.86,7.39,東京,中央,215,19600.0,745,都営大江戸線,勝どき,35.6550953,139.7735148
ブリリア有明シティタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩9分,2014年12月,196800000.0,2LDK,75.91,42.0,東京,江東,132,19680.0,856,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
ブリリア有明シティタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩8分,2014年12月,196800000.0,2LDK,75.91,42.0,東京,江東,132,19680.0,856,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩10分,2019年2月,198000000.0,3LDK+S（納戸）,77.61,19.62,東京,中央,82,19800.0,842,東京メトロ有楽町線,月島,35.6564518,139.7869359
パークタワー西新宿,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩8分,2024年11月,198000000.0,2LDK,62.1,12.55,東京,新宿,13,19800.0,1052,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
コスモポリス品川,東京都港区港南３-6－21,ＪＲ山手線「品川」徒歩11分,2016年11月,198000000.0,2LDK,81.82,14.96,東京,港,109,19800.0,799,ＪＲ山手線,品川,35.632002,139.7478536
ザ　パークハウス晴海タワーズ　クロノレジデンス,東京都中央区晴海２,都営大江戸線「勝どき」徒歩11分,2013年10月,198000000.0,2LDK,75.29,18.41,東京,中央,146,19800.0,868,都営大江戸線,勝どき,35.6564518,139.7869359
ワールドシティタワーズ　アクアタワー,東京都港区港南４,東京モノレール「天王洲アイル」徒歩4分,2005年10月,198000000.0,3LDK,86.85,6.1,東京,港,242,19800.0,752,東京モノレール,天王洲アイル,35.6273113,139.7485979
富久クロス コンフォートタワー,東京都新宿区富久町,東京メトロ丸ノ内線「新宿御苑前」徒歩7分,2015年4月,198000000.0,3LDK,70.12,12.08,東京,新宿,128,19800.0,932,東京メトロ丸ノ内線,新宿御苑前,35.6934999,139.7147533
ＨＡＲＵＭＩ ＦＬＡＧ ＰＡＲＫ ＶＩＬＬＡＧＥ,東京都中央区晴海５,都営大江戸線「勝どき」徒歩18分,2025年10月,198000000.0,2LDK,72.06,16.8,東京,中央,2,19800.0,907,都営大江戸線,勝どき,35.6490356,139.7741538
富久クロスコンフォートタワー,東京都新宿区富久町15-1,東京メトロ丸ノ内線「新宿御苑前」徒歩7分,2015年4月,199700000.0,2LDK+S（納戸）,63.42,12.44,東京,新宿,128,19970.0,1039,東京メトロ丸ノ内線,新宿御苑前,35.6919473,139.7139397
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩11分,2019年2月,199800000.0,3LDK,78.59,18.93,東京,中央,82,19980.0,839,東京メトロ有楽町線,月島,35.6564518,139.7869359
ドゥトゥール（DEUX TOURS）WEST,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,2015年10月,199800000.0,3LDK,70.7,5.08,東京,中央,122,19980.0,933,都営大江戸線,勝どき,35.6548467,139.7786272
【＊プラウドタワー目黒MARC＊English 中文…,東京都品川区西五反田３,ＪＲ山手線「目黒」徒歩9分,2023年8月,206800000.0,2LDK,61.76,16.38,東京,品川,28,20680.0,1105,ＪＲ山手線,目黒,35.6279656,139.717307
パークタワー晴海　44階,東京都中央区晴海２-2-42,東京メトロ有楽町線「月島」徒歩12分,2019年2月,208000000.0,3LDK,78.59,18.93,東京,中央,82,20800.0,873,東京メトロ有楽町線,月島,35.6569192,139.7867489
パークタワー渋谷本町,東京都渋谷区本町３,都営大江戸線「西新宿五丁目」徒歩6分,2013年10月,208000000.0,2LDK,66.66,8.62,東京,渋谷,146,20800.0,1030,都営大江戸線,西新宿五丁目,35.6953137,139.676462
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩11分,2019年2月,208800000.0,3LDK,81.64,22.0,東京,中央,82,20880.0,844,東京メトロ有楽町線,月島,35.6564518,139.7869359
ブリリアタワーズ目黒サウスレジデンス,東京都品川区上大崎３,ＪＲ山手線「目黒」徒歩3分,2017年7月,209800000.0,1LDK,48.78,9.37,東京,品川,101,20980.0,1419,ＪＲ山手線,目黒,35.631922,139.7185838
パークコート渋谷ザタワー,東京都渋谷区宇田川町,ＪＲ山手線「渋谷」徒歩10分,2020年7月,209800000.0,2LDK,74.46,5.25,東京,渋谷,65,20980.0,930,ＪＲ山手線,渋谷,35.661594,139.6981574
コスモポリス品川,東京都港区港南３,ＪＲ山手線「品川」徒歩11分,2005年2月,210000000.0,2LDK,90.41,16.39,東京,港,250,21000.0,767,ＪＲ山手線,品川,35.633247,139.7505142
HARUMI FLAG PARK VILLAGE T…,東京都中央区晴海５,都営大江戸線「勝どき」徒歩19分,2025年10月,210000000.0,3LDK,86.66,38.78,東京,中央,2,21000.0,800,都営大江戸線,勝どき,35.6490356,139.7741538
コスモポリス品川,東京都港区港南３,ＪＲ山手線「品川」徒歩10分,2005年2月,210000000.0,2LDK,90.41,16.39,東京,港,250,21000.0,767,ＪＲ山手線,品川,35.633247,139.7505142
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,210000000.0,3LDK+S（納戸）,94.18,17.3,東京,港,230,21000.0,736,ＪＲ山手線,田町,35.6400662,139.7460429
アーバンドックパークシティ豊洲タワーＡ,東京都江東区豊洲２,東京メトロ有楽町線「豊洲」徒歩6分,2008年2月,215000000.0,3LDK,80.38,17.6,東京,江東,214,21500.0,883,東京メトロ有楽町線,豊洲,35.6553723,139.7914102
ザ・パークハウス西新宿タワー60,東京都新宿区西新宿５-5-1,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,219800000.0,3LDK,83.37,15.94,東京,新宿,100,21980.0,870,都営大江戸線,西新宿五丁目,35.6918758,139.7100852
ザ・パークハウス大森タワー,東京都大田区大森北１,ＪＲ京浜東北線「大森」徒歩3分,2024年11月,219800000.0,3LDK,76.28,21.4,東京,大田,13,21980.0,951,ＪＲ京浜東北線,大森,35.5866413,139.7287997
ザ・パークハウス大森タワー◆築浅◆高層階◆京浜東北線…,東京都大田区大森北１,ＪＲ京浜東北線「大森」徒歩3分,2024年11月,219800000.0,3LDK,76.28,21.4,東京,大田,13,21980.0,951,ＪＲ京浜東北線,大森,35.5866413,139.7287997
ザ・パークハウス晴海タワーズティアロレジデンス,東京都中央区晴海２-3-2,都営大江戸線「勝どき」徒歩13分,2016年4月,220000000.0,3LDK,81.89,17.88,東京,中央,116,22000.0,887,都営大江戸線,勝どき,35.6561262,139.7858853
TOKYO SEA SOUTH ブランファーレ,東京都港区港南４,東京モノレール「天王洲アイル」徒歩9分,2004年6月,225000000.0,2LDK,98.43,14.35,東京,港,258,22500.0,754,東京モノレール,天王洲アイル,35.6273113,139.7485979
プラウドタワー東雲キャナルコート,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩11分,2012年12月,228500000.0,2LDK+S（納戸）,91.37,20.5,東京,江東,156,22850.0,825,東京メトロ有楽町線,辰巳,35.6465138,139.802278
プラウドタワー芝浦,東京都港区芝浦４-15,ＪＲ山手線「田町」徒歩12分,2023年1月,229980000.0,3LDK,75.77,5.75,東京,港,35,22998.0,1002,ＪＲ山手線,田町,35.6400662,139.7460429
