物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
ワールドシティタワーズ　アクアタワー西向き,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,2005年10月,115000000.0,1LDK,56.09,9.51,東京,港,242,11500.0,677,ＪＲ山手線,品川,35.6273113,139.7485979
シティタワーズ豊洲ザ・ツイン,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩5分,2009年2月,125000000.0,2LDK,55.37,5.68,東京,江東,202,12500.0,745,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
ベイサイドタワー晴海,東京都中央区晴海３,都営大江戸線「勝どき」徒歩7分,2015年9月,145000000.0,3LDK,72.4,11.28,東京,中央,123,14500.0,661,都営大江戸線,勝どき,35.6548467,139.7786272
ザ・パークハウス青砥,東京都葛飾区青戸７-32-3,京成本線「青砥」徒歩13分,2013年6月,57800000.0,3LDK,69.79,9.3,東京,葛飾,150,5780.0,273,京成本線,青砥,35.7542915,139.857165
清新北ハイツ５号棟,東京都江戸川区清新町１-4-5,東京メトロ東西線「西葛西」徒歩10分,1983年3月,58800000.0,3LDK,74.48,19.18,東京,江戸川,513,5880.0,261,東京メトロ東西線,西葛西,35.6624792,139.8542792
プラウドタワー亀戸クロス　ゲートタワー,東京都江東区亀戸６,ＪＲ総武線「亀戸」徒歩2分,2022年1月,58800000.0,1RM,29.88,6.4,東京,江東,47,5880.0,649,ＪＲ総武線,亀戸,35.6957973,139.8278569
ヴェレーナ王子,東京都北区豊島５,東京メトロ南北線「王子神谷」徒歩15分,2012年3月,61800000.0,3LDK,80.27,12.8,東京,北,165,6180.0,254,東京メトロ南北線,王子神谷,35.7642385,139.7496788
ライオンズタワー大島,東京都江東区大島８-28-5,都営新宿線「大島」徒歩10分,2004年7月,61800000.0,1LDK,65.95,11.74,東京,江東,257,6180.0,309,都営新宿線,大島,35.6869743,139.8415346
ヴェレーナ王子,東京都北区豊島５,東京メトロ南北線「王子神谷」徒歩15分,2012年3月,62800000.0,3LDK,81.62,12.3,東京,北,165,6280.0,254,東京メトロ南北線,王子神谷,35.7642385,139.7496788
ザ・パークハウス青砥,東京都葛飾区青戸７-32-3,京成本線「青砥」徒歩13分,2013年6月,62800000.0,3LDK,72.16,9.6,東京,葛飾,150,6280.0,287,京成本線,青砥,35.7542915,139.857165
ザ・パークハウス青砥,東京都葛飾区青戸７,京成本線「青砥」徒歩13分,2013年6月,62800000.0,3LDK,72.16,9.6,東京,葛飾,150,6280.0,287,京成本線,青砥,35.7552758,139.8560065
晴海テラス,東京都中央区晴海５,都営大江戸線「勝どき」徒歩10分,2009年3月,66800000.0,1LDK,40.0,7.6,東京,中央,201,6680.0,551,都営大江戸線,勝どき,35.6490356,139.7741538
サンウッド品川天王洲タワー,東京都品川区東品川２,りんかい線「天王洲アイル」徒歩4分,2005年2月,67800000.0,1LDK,46.18,8.7,東京,品川,250,6780.0,484,りんかい線,天王洲アイル,35.6214449,139.751153
ミッドガーデンシティザ・タワー＆ヴィラ,東京都荒川区南千住６,東京メトロ日比谷線「南千住」徒歩10分,2011年1月,69800000.0,3LDK,73.5,0.0,東京,荒川,179,6980.0,313,東京メトロ日比谷線,南千住,35.73758170000001,139.7946064
ザ・ステージオガーデンフロントタワー,東京都足立区西新井栄町１,東武伊勢崎線「西新井」徒歩5分,2006年12月,74800000.0,3LDK,73.02,11.97,東京,足立,228,7480.0,338,東武伊勢崎線,西新井,35.7748516,139.7888534
ブリリア有明スカイタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩6分,2010年12月,78500000.0,1DK,39.48,8.19,東京,江東,180,7850.0,656,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
シティタワー池袋,東京都豊島区東池袋２,ＪＲ山手線「池袋」徒歩12分,2003年8月,78800000.0,1LDK,44.6,15.84,東京,豊島,268,7880.0,583,ＪＲ山手線,池袋,35.7314981,139.7236915
アイタウン・レピア,東京都新宿区西新宿６-21-1,東京メトロ丸ノ内線「西新宿」徒歩11分,1994年10月,79800000.0,1LDK,43.21,8.7,東京,新宿,374,7980.0,609,東京メトロ丸ノ内線,西新宿,35.6929304,139.6904993
西早稲田シティタワー,東京都新宿区西早稲田１,東京メトロ東西線「早稲田」徒歩11分,1999年3月,79900000.0,1LDK,50.01,7.57,東京,新宿,321,7990.0,527,東京メトロ東西線,早稲田,35.710463,139.7198607
シティタワー大泉学園,東京都練馬区東大泉１,西武池袋線「大泉学園」徒歩2分,2010年1月,82500000.0,2LDK,57.15,7.32,東京,練馬,191,8250.0,476,西武池袋線,大泉学園,35.7491256,139.5910344
シエルズガーデンリビエルタワー,東京都大田区下丸子２-12-2,東急多摩川線「下丸子」徒歩13分,2003年4月,82800000.0,2LDK+S（納戸）,80.62,15.2,東京,大田,272,8280.0,339,東急多摩川線,下丸子,35.5643641,139.6819974
ブリリア有明スカイタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩6分,2010年12月,82980000.0,1LDK,40.02,8.48,東京,江東,180,8298.0,684,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
パークシティ杉並セントラルタワー,東京都杉並区和田２,東京メトロ丸ノ内線「方南町」徒歩8分,2000年8月,84800000.0,3LDK+S（納戸）,72.82,11.85,東京,杉並,304,8480.0,384,東京メトロ丸ノ内線,方南町,35.6892748,139.6586012
パークシティ杉並　セントラルタワー,東京都杉並区和田２-26-3,東京メトロ丸ノ内線「方南町」徒歩8分,2000年8月,84800000.0,3LDK,72.82,11.85,東京,杉並,304,8480.0,384,東京メトロ丸ノ内線,方南町,35.6892272,139.6558758
パークシティ杉並セントラルタワー,東京都杉並区和田２-26-3,東京メトロ丸ノ内線「方南町」徒歩8分,2000年8月,84800000.0,3LDK,72.82,11.85,東京,杉並,304,8480.0,384,東京メトロ丸ノ内線,方南町,35.6892272,139.6558758
パークシティ杉並セントラルタワー,東京都杉並区和田２,東京メトロ丸ノ内線「方南町」徒歩8分,2000年8月,84800000.0,3LDK,72.82,11.85,東京,杉並,304,8480.0,384,東京メトロ丸ノ内線,方南町,35.6892748,139.6586012
ブリリアマーレ有明タワー＆ガーデン,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩4分,2008年12月,84800000.0,1LDK,40.8,6.42,東京,江東,204,8480.0,686,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
リバーフェイス,東京都荒川区南千住３,東京メトロ日比谷線「南千住」徒歩14分,2009年2月,85800000.0,3LDK,73.96,12.3,東京,荒川,202,8580.0,383,東京メトロ日比谷線,南千住,35.7312289,139.8073929
リビオタワー板橋,東京都板橋区板橋３,都営三田線「板橋区役所前」徒歩4分,2010年9月,85800000.0,3LDK,70.91,21.51,東京,板橋,183,8580.0,399,都営三田線,板橋区役所前,35.751471,139.7134765
リバーフェイス　,東京都荒川区南千住３,東京メトロ日比谷線「南千住」徒歩14分,2009年2月,85800000.0,3LDK,73.96,12.3,東京,荒川,202,8580.0,383,東京メトロ日比谷線,南千住,35.7312289,139.8073929
イニシア千住曙町,東京都足立区千住曙町40-1,京成本線「京成関屋」徒歩5分,2009年1月,88800000.0,1LDK+S（納戸）,73.39,13.42,東京,足立,203,8880.0,399,京成本線,京成関屋,35.7416694,139.8141257
テラス東陽町ネクスタワー,東京都江東区南砂２,東京メトロ東西線「南砂町」徒歩8分,2011年1月,89800000.0,3LDK,70.29,14.69,東京,江東,179,8980.0,422,東京メトロ東西線,南砂町,35.6730787,139.8227402
プラウドタワー金町,東京都葛飾区金町６,ＪＲ常磐線「金町」徒歩2分,2021年6月,89800000.0,2LDK,60.03,14.55,東京,葛飾,54,8980.0,494,ＪＲ常磐線,金町,35.7690373,139.8710463
西戸山タワーホウムズ セントラルタワー,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩7分,1988年1月,89800000.0,2LDK,81.42,14.32,東京,新宿,455,8980.0,364,ＪＲ山手線,新大久保,35.7063302,139.6981574
パークタワー秋葉原,東京都千代田区神田練塀町５５,ＪＲ山手線「秋葉原」徒歩4分,2006年8月,89800000.0,1LDK+S（納戸）,40.76,9.62,東京,千代田,232,8980.0,727,ＪＲ山手線,秋葉原,35.7008551,139.7738343
サンウッド品川天王洲タワー,東京都品川区東品川２-2-25,りんかい線「天王洲アイル」徒歩3分,2005年2月,89800000.0,1LDK,55.13,7.75,東京,品川,250,8980.0,538,りんかい線,天王洲アイル,35.6217353,139.7492809
西戸山タワーホウムズノースタワー,東京都新宿区百人町３-1-5,ＪＲ山手線「新大久保」徒歩9分,1988年1月,91500000.0,2LDK,71.49,8.83,東京,新宿,455,9150.0,422,ＪＲ山手線,新大久保,35.7066397,139.701179
西戸山タワーホウムズノースタワー,東京都新宿区百人町３,ＪＲ山手線「高田馬場」徒歩11分,1988年1月,91500000.0,2LDK,71.49,1.0,東京,新宿,455,9150.0,422,ＪＲ山手線,高田馬場,35.7063302,139.6981574
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩12分,2019年2月,91800000.0,1LDK,48.02,10.75,東京,中央,82,9180.0,631,東京メトロ有楽町線,月島,35.6564518,139.7869359
シティタワー金町タワー棟,東京都葛飾区新宿６,ＪＲ常磐線「金町」徒歩12分,2016年2月,91980000.0,3LDK,63.04,12.12,東京,葛飾,118,9198.0,481,ＪＲ常磐線,金町,35.7710963,139.861126
シティタワー金町タワー棟,東京都葛飾区新宿６,ＪＲ常磐線「金町」徒歩12分,2016年2月,91980000.0,3LDK,63.04,12.12,東京,葛飾,118,9198.0,481,ＪＲ常磐線,金町,35.7710963,139.861126
シティタワーズ東京ベイ,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩6分,2019年7月,92000000.0,1LDK,42.48,11.47,東京,江東,77,9200.0,715,新交通ゆりかもめ,有明,35.6388488,139.7946064
シティタワー赤羽テラス,東京都北区岩淵町,東京メトロ南北線「赤羽岩淵」徒歩2分,2012年9月,92800000.0,3LDK,71.79,17.79,東京,北,159,9280.0,427,東京メトロ南北線,赤羽岩淵,35.7860104,139.7224146
ザ・湾岸タワーレックスガーデン,東京都江東区東雲２,りんかい線「東雲」徒歩4分,2012年9月,92800000.0,2LDK,58.04,4.12,東京,江東,159,9280.0,528,りんかい線,東雲,35.6396214,139.802278
ザ・タワーズ台場WEST棟,東京都港区台場２-2-2,新交通ゆりかもめ「お台場海浜公園」徒歩2分,2006年5月,92800000.0,1LDK,47.14,5.29,東京,港,235,9280.0,650,新交通ゆりかもめ,お台場海浜公園,35.6298408,139.7802649
ザ・パークハウス三軒茶屋タワー,東京都世田谷区上馬１,東急田園都市線「三軒茶屋」徒歩9分,2012年2月,94800000.0,1LDK,41.66,4.7,東京,世田谷,166,9480.0,751,東急田園都市線,三軒茶屋,35.6383248,139.6688067
リバーフェイス,東京都荒川区南千住３,東京メトロ日比谷線「南千住」徒歩15分,2009年2月,95000000.0,4LDK,86.96,34.77,東京,荒川,202,9500.0,361,東京メトロ日比谷線,南千住,35.7312289,139.8073929
シティタワーズ東京ベイ,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩6分,2019年7月,95000000.0,1LDK,40.22,10.85,東京,江東,77,9500.0,779,新交通ゆりかもめ,有明,35.6388488,139.7946064
西戸山タワーホウムズ サウスタワー,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩7分,1988年1月,97000000.0,2LDK,82.09,9.1,東京,新宿,455,9700.0,390,ＪＲ山手線,新大久保,35.7063302,139.6981574
ムーンアイランドタワー,東京都中央区月島２,東京メトロ有楽町線「月島」徒歩1分,2002年6月,97500000.0,1LDK,48.48,8.99,東京,中央,282,9750.0,664,東京メトロ有楽町線,月島,35.6619998,139.7850184
ザ・ガーデンタワーズ サンライズタワー,東京都江東区大島１,東京メトロ半蔵門線「住吉」徒歩9分,1997年1月,97800000.0,3LDK,90.13,12.62,東京,江東,347,9780.0,358,東京メトロ半蔵門線,住吉,35.6868603,139.8227402
シティタワー品川,東京都港区港南４,ＪＲ山手線「品川」徒歩10分,2008年4月,97800000.0,2LDK,73.89,18.51,東京,港,212,9780.0,437,ＪＲ山手線,品川,35.6273113,139.7485979
エアライズタワー,東京都豊島区東池袋４,東京メトロ有楽町線「東池袋」徒歩1分,2007年1月,97800000.0,1LDK,45.69,13.06,東京,豊島,227,9780.0,706,東京メトロ有楽町線,東池袋,35.727032,139.7211376
シティタワー品川,東京都港区港南４,ＪＲ山手線「品川」徒歩10分,2008年4月,98000000.0,2LDK,73.89,18.51,東京,港,212,9800.0,438,ＪＲ山手線,品川,35.6273113,139.7485979
シティタワー品川,東京都港区港南４-2-7,ＪＲ山手線「品川」徒歩10分,2008年4月,98000000.0,2LDK,73.89,18.51,東京,港,212,9800.0,438,ＪＲ山手線,品川,35.6312085,139.7480034
ファミール新宿グランスィートタワー,東京都渋谷区代々木２,ＪＲ山手線「新宿」徒歩7分,2002年2月,99000000.0,1LDK,41.2,2.8,東京,渋谷,286,9900.0,793,ＪＲ山手線,新宿,35.6856856,139.6981574
ザ・タワー十条,東京都北区上十条２,ＪＲ埼京線「十条」徒歩1分,2024年9月,99800000.0,2LDK,58.23,11.28,東京,北,15,9980.0,566,ＪＲ埼京線,十条,35.7591353,139.7211376
ワールドシティタワーズキャピタルタワー,東京都港区港南４,りんかい線「天王洲アイル」徒歩7分,2006年10月,99800000.0,1LDK,60.7,5.6,東京,港,230,9980.0,543,りんかい線,天王洲アイル,35.6273113,139.7485979
ワールドシティタワーズキャピタルタワー,東京都港区港南４-6-8,東京モノレール「天王洲アイル」徒歩7分,2006年10月,99800000.0,1LDK,60.7,5.6,東京,港,230,9980.0,543,東京モノレール,天王洲アイル,35.6278646,139.7506623
ワールドシティタワーズ　キャピタルタワー,東京都港区港南４,ＪＲ山手線「品川」徒歩13分,2006年10月,99800000.0,1LDK,60.7,5.6,東京,港,230,9980.0,543,ＪＲ山手線,品川,35.6273113,139.7485979
プラウドタワー金町,東京都葛飾区金町６,ＪＲ常磐線「金町」徒歩2分,2021年6月,99800000.0,2LDK,60.03,14.55,東京,葛飾,54,9980.0,549,ＪＲ常磐線,金町,35.7690373,139.8710463
ワールドシティタワーズキャピタルタワー,東京都港区港南４,東京モノレール「天王洲アイル」徒歩7分,2006年10月,99800000.0,1LDK,60.7,5.6,東京,港,230,9980.0,543,東京モノレール,天王洲アイル,35.6273113,139.7485979
ワールドシティタワーズキャピタルタワー,東京都港区港南４-６－８,ＪＲ山手線「品川」徒歩13分,2006年10月,99800000.0,1LDK,60.7,5.6,東京,港,230,9980.0,543,ＪＲ山手線,品川,35.6278646,139.7506623
シティタワー有明,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩9分,2009年12月,99800000.0,2LDK,59.86,0.0,東京,江東,192,9980.0,550,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
モデルノトッレ松濤,東京都渋谷区松濤２,京王井の頭線「神泉」徒歩7分,2008年1月,99990000.0,1LDK,43.44,5.25,東京,渋谷,215,9999.0,760,京王井の頭線,神泉,35.6598231,139.6901802
ザ・パークハウス西新宿タワー60,東京都新宿区西新宿５-5-1,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,104800000.0,1DK,43.08,13.32,東京,新宿,100,10480.0,803,都営大江戸線,西新宿五丁目,35.6918758,139.7100852
シーフォートタワー,東京都品川区東品川２,東京モノレール「天王洲アイル」徒歩4分,1992年6月,104800000.0,2LDK,79.99,2.19,東京,品川,402,10480.0,432,東京モノレール,天王洲アイル,35.6214449,139.751153
ザ・パークハウス晴海タワーズクロノレジデンス21階,東京都中央区晴海２,都営大江戸線「勝どき」徒歩13分,2013年10月,105000000.0,2LDK,56.79,10.25,東京,中央,146,10500.0,610,都営大江戸線,勝どき,35.6564518,139.7869359
西戸山タワーホウムズサウスタワー,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩6分,1988年1月,106800000.0,2LDK,81.42,14.32,東京,新宿,455,10680.0,433,ＪＲ山手線,新大久保,35.7063302,139.6981574
西戸山タワーホウムズサウスタワー,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩6分,1988年1月,106800000.0,2LDK,81.42,14.32,東京,新宿,455,10680.0,433,ＪＲ山手線,新大久保,35.7063302,139.6981574
西戸山タワーホウムズセントラルタワー,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩6分,1988年1月,108000000.0,2LDK+S（納戸）,79.77,13.0,東京,新宿,455,10800.0,447,ＪＲ山手線,新大久保,35.7063302,139.6981574
西戸山タワーホウムズセントラルタワー,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩8分,1988年1月,108000000.0,2LDK,79.77,13.22,東京,新宿,455,10800.0,447,ＪＲ山手線,新大久保,35.7063302,139.6981574
シティタワー大泉学園,東京都練馬区東大泉１,西武池袋線「大泉学園」徒歩2分,2010年1月,108800000.0,2LDK,72.12,8.34,東京,練馬,191,10880.0,498,西武池袋線,大泉学園,35.7491256,139.5910344
イニシア千住曙町,東京都足立区千住曙町,京成本線「京成関屋」徒歩5分,2009年1月,109000000.0,4LDK,90.39,18.48,東京,足立,203,10900.0,398,京成本線,京成関屋,35.7426527,139.8144266
スカイシティ豊洲ベイサイドタワー,東京都江東区豊洲１-3-18,東京メトロ有楽町線「豊洲」徒歩12分,1997年2月,109800000.0,3LDK,78.21,15.3,東京,江東,346,10980.0,463,東京メトロ有楽町線,豊洲,35.6622467,139.7928676
HARUMI FLAG SUN VILLAGE T棟,東京都中央区晴海５-5-7,都営大江戸線「勝どき」徒歩14分,2025年10月,109800000.0,1LDK,49.38,11.27,東京,中央,2,10980.0,734,都営大江戸線,勝どき,35.6505533,139.7736279
品川タワーフェイス,東京都港区港南２,ＪＲ山手線「品川」徒歩9分,2005年7月,109800000.0,1LDK,55.85,7.09,東京,港,245,10980.0,649,ＪＲ山手線,品川,35.6275595,139.7434881
ビーコンタワーレジデンス,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩9分,2009年1月,109800000.0,2LDK,82.71,12.52,東京,江東,203,10980.0,438,東京メトロ有楽町線,辰巳,35.6465138,139.802278
シティタワー銀座東,東京都中央区湊２,ＪＲ京葉線「八丁堀」徒歩6分,2019年1月,109800000.0,1LDK,44.8,10.1,東京,中央,83,10980.0,809,ＪＲ京葉線,八丁堀,35.6709568,139.780864
エクサージュ海岸,東京都港区海岸３,新交通ゆりかもめ「芝浦ふ頭」徒歩4分,2002年4月,109800000.0,2LDK,67.79,11.17,東京,港,284,10980.0,535,新交通ゆりかもめ,芝浦ふ頭,35.6399584,139.7600967
ベイクレストタワー,東京都港区港南３,ＪＲ山手線「品川」徒歩15分,2005年8月,109800000.0,1LDK,62.42,8.6,東京,港,244,10980.0,580,ＪＲ山手線,品川,35.633247,139.7505142
プライムパークス品川シーサイドザ・タワー,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩4分,2019年1月,109800000.0,2LDK,56.91,11.43,東京,品川,83,10980.0,637,りんかい線,品川シーサイド,35.6089355,139.7485979
シティタワー目黒,東京都品川区西五反田３,東急目黒線「不動前」徒歩4分,2017年1月,109800000.0,1LDK,41.26,12.72,東京,品川,107,10980.0,878,東急目黒線,不動前,35.6279656,139.717307
プライムパークス品川シーサイドザタワー,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩4分,2019年1月,109800000.0,2LDK,56.91,11.43,東京,品川,83,10980.0,637,りんかい線,品川シーサイド,35.6089355,139.7485979
BEACON Tower Residence,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩9分,2009年1月,109800000.0,2LDK,82.71,12.52,東京,江東,203,10980.0,438,東京メトロ有楽町線,辰巳,35.6465138,139.802278
Brilliaタワー東京,東京都墨田区太平４,東京メトロ半蔵門線「錦糸町」徒歩4分,2006年2月,109980000.0,1LDK+S（納戸）,57.16,11.5,東京,墨田,238,10998.0,635,東京メトロ半蔵門線,錦糸町,35.7012067,139.8169845
晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１,東京メトロ有楽町線「月島」徒歩7分,1998年2月,109990000.0,1LDK+S（納戸）,55.27,7.97,東京,中央,334,10999.0,657,東京メトロ有楽町線,月島,35.6597032,139.7850184
銀座タワー,東京都中央区銀座１-22-1,東京メトロ有楽町線「新富町」徒歩3分,2003年7月,110000000.0,2LDK,73.81,12.88,東京,中央,269,11000.0,492,東京メトロ有楽町線,新富町,35.6722671,139.7711566
ビーコンタワーレジデンス,東京都江東区東雲１-9-43,東京メトロ有楽町線「辰巳」徒歩9分,2009年1月,110800000.0,2LDK,62.73,10.2,東京,江東,203,11080.0,583,東京メトロ有楽町線,辰巳,35.6482874,139.8048459
ザ・クレストタワー,東京都中央区佃２,東京メトロ有楽町線「月島」徒歩3分,2004年9月,112000000.0,1LDK,52.28,13.1,東京,中央,255,11200.0,707,東京メトロ有楽町線,月島,35.6682531,139.7862967
TOKYOシティトリエ,東京都豊島区西巣鴨１,東武東上線「北池袋」徒歩8分,2005年11月,112000000.0,2LDK,73.44,9.9,東京,豊島,241,11200.0,503,東武東上線,北池袋,35.7371108,139.7262455
品川イーストシティタワー,東京都品川区東品川５,東京モノレール「天王洲アイル」徒歩5分,2018年7月,112800000.0,2LDK,56.82,11.34,東京,品川,89,11280.0,655,東京モノレール,天王洲アイル,35.6211959,139.7562635
ワールドシティタワーズ　ブリーズタワー西向き,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,2006年10月,113000000.0,2LDK,58.98,15.07,東京,港,230,11300.0,632,ＪＲ山手線,品川,35.6273113,139.7485979
晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１-6-1,都営大江戸線「月島」徒歩7分,1998年2月,113800000.0,2LDK,69.86,11.38,東京,中央,334,11380.0,538,都営大江戸線,月島,35.6590853,139.7840305
ザ・晴海レジデンス,東京都中央区晴海５-1-17,都営大江戸線「勝どき」徒歩10分,2009年3月,113800000.0,2LDK,79.2,14.46,東京,中央,201,11380.0,474,都営大江戸線,勝どき,35.6526925,139.7745931
西早稲田パークタワー,東京都新宿区西早稲田１,東京メトロ東西線「早稲田」徒歩9分,1993年10月,114800000.0,2LDK,74.48,13.95,東京,新宿,386,11480.0,509,東京メトロ東西線,早稲田,35.710463,139.7198607
シエルズガーデンエールタワー,東京都大田区下丸子２,東急多摩川線「下丸子」徒歩13分,2003年5月,114800000.0,3LDK,98.98,29.65,東京,大田,271,11480.0,383,東急多摩川線,下丸子,35.5626542,139.6847564
パークタワー池袋イーストプレイス,東京都豊島区東池袋３,ＪＲ山手線「大塚」徒歩9分,2008年2月,115000000.0,2LDK,57.77,3.97,東京,豊島,214,11500.0,657,ＪＲ山手線,大塚,35.7299592,139.7198607
プラウドタワー東池袋ステーションアリーナ,東京都豊島区東池袋４-2-1,東京メトロ有楽町線「東池袋」徒歩1分,2022年1月,115000000.0,1LDK,44.3,9.08,東京,豊島,47,11500.0,857,東京メトロ有楽町線,東池袋,35.7256758,139.720316
プラウドタワー小岩ファースト,東京都江戸川区南小岩６,ＪＲ総武線「小岩」徒歩1分,2022年3月,115000000.0,3LDK,72.27,15.89,東京,江戸川,45,11500.0,525,ＪＲ総武線,小岩,35.7292121,139.8784076
フェイバリッチタワー品川,東京都港区港南３,ＪＲ山手線「品川」徒歩14分,2006年10月,115000000.0,2LDK,53.78,9.24,東京,港,230,11500.0,706,ＪＲ山手線,品川,35.633247,139.7505142
ステーションフロントタワー,東京都豊島区北大塚２,ＪＲ山手線「大塚」徒歩3分,2000年8月,115800000.0,3LDK,74.69,11.16,東京,豊島,304,11580.0,512,ＪＲ山手線,大塚,35.7335499,139.7287997
プラウドタワー亀戸クロス ブライトタワー,東京都江東区亀戸６,ＪＲ総武線「亀戸」徒歩2分,2021年12月,115800000.0,2LDK,57.1,10.64,東京,江東,48,11580.0,669,ＪＲ総武線,亀戸,35.6957973,139.8278569
プラウドタワー芝浦,東京都港区芝浦４,ＪＲ山手線「田町」徒歩11分,2023年1月,115800000.0,1LDK,40.27,5.06,東京,港,35,11580.0,949,ＪＲ山手線,田町,35.6400662,139.7460429
ザ・パークハウス晴海タワーズティアロレジデンス,東京都中央区晴海２-３－２,都営大江戸線「勝どき」徒歩13分,2016年3月,115880000.0,2LDK,56.21,9.87,東京,中央,117,11588.0,680,都営大江戸線,勝どき,35.6561262,139.7858853
アルファグランデ千桜タワー,東京都千代田区神田東松下町,都営新宿線「岩本町」徒歩2分,2018年4月,116800000.0,2LDK,56.16,9.4,東京,千代田,92,11680.0,686,都営新宿線,岩本町,35.6945427,139.7738343
シエルズガーデンエールタワー,東京都大田区下丸子２,東急多摩川線「下丸子」徒歩13分,2003年5月,118000000.0,4LDK,98.98,29.65,東京,大田,271,11800.0,393,東急多摩川線,下丸子,35.5626542,139.6847564
レグノ・セレーノ,東京都新宿区北新宿３-2-1,ＪＲ中央線「大久保」徒歩3分,2008年4月,118000000.0,2LDK,64.64,10.15,東京,新宿,212,11800.0,602,ＪＲ中央線,大久保,35.7030039,139.6946074
レグノ・セレーノ,東京都新宿区北新宿３,ＪＲ中央線「大久保」徒歩3分,2008年4月,118000000.0,2LDK,64.64,10.15,東京,新宿,212,11800.0,602,ＪＲ中央線,大久保,35.7032517,139.6904993
ザ・豊洲タワー　THE TOYOSU TOWER,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩6分,2008年10月,118000000.0,1LDK,57.49,9.91,東京,江東,206,11800.0,677,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
シエルズガーデンエールタワー,東京都大田区下丸子２,東急多摩川線「下丸子」徒歩13分,2003年5月,118000000.0,4LDK,98.98,29.65,東京,大田,271,11800.0,393,東急多摩川線,下丸子,35.5626542,139.6847564
プライムパークス品川シーサイドザ・タワー,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩5分,2019年1月,118000000.0,2LDK,58.44,9.82,東京,品川,83,11800.0,666,りんかい線,品川シーサイド,35.6089355,139.7485979
プライムパークス品川シーサイドザ・タワー,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩5分,2019年1月,118000000.0,2LDK,58.44,9.82,東京,品川,83,11800.0,666,りんかい線,品川シーサイド,35.6089355,139.7485979
レグノ・セレーノ,東京都新宿区北新宿３,ＪＲ中央線「大久保」徒歩3分,2008年4月,118000000.0,2LDK,64.64,10.15,東京,新宿,212,11800.0,602,ＪＲ中央線,大久保,35.7032517,139.6904993
【VECS】　レグノ・セレーノ　PROJECT　東南…,東京都新宿区北新宿３,ＪＲ中央線「大久保」徒歩3分,2008年4月,118000000.0,2LDK,64.64,10.15,東京,新宿,212,11800.0,602,ＪＲ中央線,大久保,35.7032517,139.6904993
ベイズ　タワー＆ガーデン,東京都江東区豊洲６,東京メトロ有楽町線「豊洲」徒歩11分,2016年6月,118800000.0,2LDK,55.58,13.47,東京,江東,114,11880.0,705,東京メトロ有楽町線,豊洲,35.6456038,139.7856575
ザ・グランアルト錦糸町,東京都墨田区江東橋２,ＪＲ総武線「錦糸町」徒歩4分,2012年12月,119000000.0,2LDK,55.88,12.0,東京,墨田,156,11900.0,703,ＪＲ総武線,錦糸町,35.6949816,139.8121885
Ｗコンフォートタワーズイースト,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩6分,2004年10月,119800000.0,2LDK,89.04,12.75,東京,江東,254,11980.0,444,東京メトロ有楽町線,辰巳,35.6465138,139.802278
ワールドシティタワーズキャピタルタワー,東京都港区港南４-6-7,東京モノレール「天王洲アイル」徒歩4分,2006年10月,119800000.0,1LDK,62.44,9.69,東京,港,230,11980.0,633,東京モノレール,天王洲アイル,35.6277276,139.7505302
